,temperature,PCR_Positive_Count,Cross Correlation
0,4.044666666666667,1666,0.04534946864862148
1,1.7752000000000001,1812,0.14743472861944734
2,2.8272,2151,-0.007610620474565881
3,1.5985333333333334,2064,-0.46425989822565905
4,1.8872,2212,-0.3839958292106047
5,1.9409333333333334,595,0.26048888366211453
6,1.4554666666666667,925,0.2947356546958879
7,1.2930666666666668,2035,0.0050968893477976755
8,3.8296,1986,-0.030836163589523142
9,5.973333333333333,2228,-0.05472403207760582
10,2.6561333333333335,2316,0.009594987444123374
11,0.7289333333333333,2463,0.020704582790199724
12,3.0442666666666667,846,0.00048099003618066625
13,2.8241333333333336,637,-0.0009665322158829069
