,temperature,PCR_Positive_Count,Cross Correlation
0,6.945333333333334,6713,0.5311785752269392
1,5.970133333333334,8377,0.33936516361182184
2,8.823466666666667,8109,0.15869113758838374
3,9.427866666666667,8337,-0.08010439622954268
4,8.536666666666667,7478,-0.17327917524692435
5,5.290266666666667,1873,0.09533460759597398
6,7.341066666666666,1754,0.3658316708225624
7,5.199333333333333,5750,0.2677062939540539
8,5.9992,8202,-0.022932425810535274
9,6.358533333333333,7143,-0.2849637767120106
10,6.1648,6253,-0.32971742643205904
11,2.4544,6616,-0.25960688229061346
12,2.4148,2151,-0.15018574030402904
13,2.8546666666666667,1684,-0.03889990342142196
