,temperature,PCR_Positive_Count,Cross Correlation
0,3.0650666666666666,5104,-0.08847701691572281
1,2.384266666666667,7577,0.31087483115277176
2,2.3586666666666667,7389,0.5478601086161405
3,2.906,8097,0.31000154834166044
4,2.457066666666667,10016,0.09759711877977299
5,1.3524,2591,-0.06223839906899265
6,1.2716,2362,-0.14814949743056668
7,0.2144,8097,-0.1904010436135503
8,2.4610666666666665,10016,-0.0008330137472900881
9,3.8510666666666666,10611,0.19556657738414168
10,6.357600000000001,10482,0.03298804956703121
11,6.490266666666667,9776,-0.008767504081079278
12,7.620933333333334,3058,-0.04466443420111658
13,7.996266666666667,2192,-0.07728118319822064
