Origin,Destination,Distance
Bernkastel-Wittlich,KS Zweibrucken,81.77112227188402
Birkenfeld,Ahrweiler,82.21969626512374
Birkenfeld,Altenkirchen,113.9423939296444
Birkenfeld,Alzey-Worms,62.80583351075393
Birkenfeld,Bad Durkheim,69.22946520130542
Birkenfeld,Bad Kreuznach,44.91615042950014
Birkenfeld,Bernkastel-Wittlich,33.30775044242578
Birkenfeld,Bitburg-Prum,71.94989325401433
Birkenfeld,Cochem-Zell,47.06743643333597
Birkenfeld,Donnersbergkreis,47.03819542487833
Birkenfeld,Germersheim,96.61130405076459
Birkenfeld,Kaiserslautern,45.89663274522645
Birkenfeld,Kusel,23.382806356748443
Birkenfeld,Mainz-Bingen,63.68952604758265
Birkenfeld,Mayen-Koblenz,67.94455240487926
Birkenfeld,Neuwied,94.63290953394066
Birkenfeld,Rhein-Hunsruck,36.92627651910321
Birkenfeld,Rhein-Lahn-Kreis,74.37819507028895
Birkenfeld,Rhein-Pfalz-Kreis,82.99500830043695
Birkenfeld,Sudliche Weinstr.,62.570033961167674
Birkenfeld,Sudwestpfalz,61.12229767550454
Birkenfeld,Trier-Saarburg,41.17191022660718
Birkenfeld,Vulkaneifel,66.94568853688727
Birkenfeld,Westerwaldkreis,102.80861875114788
Birkenfeld,KS Frankenthal,81.2506742784643
Birkenfeld,KS Kaiserslautern,45.89663274522645
Birkenfeld,KS Koblenz,73.9554029834895
Birkenfeld,KS Landau i.d.Pf.,83.21523069774054
Birkenfeld,KS Ludwigshafen,88.68908026643537
Birkenfeld,KS Mainz,78.3576862752398
Birkenfeld,KS Neustadt a.d.W.,74.61939374372793
Birkenfeld,KS Pirmasens,62.58634704224936
Birkenfeld,KS Speyer,94.52206622080719
Birkenfeld,KS Trier,46.257363485391146
Birkenfeld,KS Worms,79.16674662248009
Birkenfeld,KS Zweibrucken,52.77278043259419
Bitburg-Prum,Ahrweiler,62.23573376623436
Bitburg-Prum,Altenkirchen,117.6636105514614
Bitburg-Prum,Alzey-Worms,129.11269080255227
Bitburg-Prum,Bad Durkheim,140.77885145505573
Bitburg-Prum,Bad Kreuznach,108.08679945899877
Bitburg-Prum,Bernkastel-Wittlich,40.614394712097265
Bitburg-Prum,Birkenfeld,71.94989325401433
Bitburg-Prum,Cochem-Zell,57.617391954456856
Bitburg-Prum,Donnersbergkreis,117.37517349642053
Bitburg-Prum,Germersheim,168.41979693636088
Bitburg-Prum,Kaiserslautern,117.35811393593026
Bitburg-Prum,Kusel,94.31542040199919
Bitburg-Prum,Mainz-Bingen,123.65757670779972
Bitburg-Prum,Mayen-Koblenz,73.19700922402676
Bitburg-Prum,Neuwied,96.2624671911062
Bitburg-Prum,Rhein-Hunsruck,78.13071408768879
Bitburg-Prum,Rhein-Lahn-Kreis,107.42758018303314
Bitburg-Prum,Rhein-Pfalz-Kreis,154.45083359162655
Bitburg-Prum,Sudliche Weinstr.,134.32715087782114
Bitburg-Prum,Sudwestpfalz,126.82783581382083
Bitburg-Prum,Trier-Saarburg,43.5343672615092
Bitburg-Prum,Vulkaneifel,36.22932745521284
Bitburg-Prum,Westerwaldkreis,119.64309765392808
Bitburg-Prum,KS Frankenthal,151.69047166540318
Bitburg-Prum,KS Kaiserslautern,117.35811393593026
Bitburg-Prum,KS Koblenz,92.36302236713085
Bitburg-Prum,KS Landau i.d.Pf.,154.22269075099132
Bitburg-Prum,KS Ludwigshafen,159.6314752167694
Bitburg-Prum,KS Mainz,134.0857609435761
Bitburg-Prum,KS Neustadt a.d.W.,146.5437748800331
Bitburg-Prum,KS Pirmasens,127.46148230908156
Bitburg-Prum,KS Speyer,166.4118749444015
Bitburg-Prum,KS Trier,36.24281616870783
Bitburg-Prum,KS Worms,147.8373326436516
Bitburg-Prum,KS Zweibrucken,112.37293030993781
Cochem-Zell,Ahrweiler,35.75086525893013
Cochem-Zell,Altenkirchen,72.33681308876189
Cochem-Zell,Alzey-Worms,80.81623779427565
Cochem-Zell,Bad Durkheim,100.49916730139753
Cochem-Zell,Bad Kreuznach,59.726309217231936
Cochem-Zell,Bernkastel-Wittlich,29.43478495156364
Cochem-Zell,Birkenfeld,47.06743643333597
Cochem-Zell,Bitburg-Prum,57.617391954456856
Cochem-Zell,Donnersbergkreis,75.9581079444078
Cochem-Zell,Germersheim,132.6631376370185
Cochem-Zell,Kaiserslautern,86.69166205020676
Cochem-Zell,Kusel,67.79868066566533
Cochem-Zell,Mainz-Bingen,71.13130556069154
Cochem-Zell,Mayen-Koblenz,23.079993958492185
Cochem-Zell,Neuwied,51.07528868657847
Cochem-Zell,Rhein-Hunsruck,25.283377413320903
Cochem-Zell,Rhein-Lahn-Kreis,49.96939234053353
Cochem-Zell,Rhein-Pfalz-Kreis,112.89441101422878
Cochem-Zell,Sudliche Weinstr.,95.64039675529929
Cochem-Zell,Sudwestpfalz,106.92695731945963
Cochem-Zell,Trier-Saarburg,60.27749459283461
Cochem-Zell,Vulkaneifel,29.990034245285823
Cochem-Zell,Westerwaldkreis,67.26802505219531
Cochem-Zell,KS Frankenthal,107.40770237642054
Cochem-Zell,KS Kaiserslautern,86.69166205020676
Cochem-Zell,KS Koblenz,37.42920612511973
Cochem-Zell,KS Landau i.d.Pf.,122.91519540629055
Cochem-Zell,KS Ludwigshafen,116.1172816279581
Cochem-Zell,KS Mainz,78.87073018868976
Cochem-Zell,KS Neustadt a.d.W.,110.51346834074691
Cochem-Zell,KS Pirmasens,108.65717110301884
Cochem-Zell,KS Speyer,126.91036010761928
Cochem-Zell,KS Trier,59.13849207331581
Cochem-Zell,KS Worms,100.80243311746538
Cochem-Zell,KS Zweibrucken,99.83679161969641
Donnersbergkreis,Ahrweiler,109.88376063015616
Donnersbergkreis,Altenkirchen,120.14722919017487
Donnersbergkreis,Alzey-Worms,20.61669286495079
Donnersbergkreis,Bad Durkheim,24.60481486033299
Donnersbergkreis,Bad Kreuznach,21.328375580503398
Donnersbergkreis,Bernkastel-Wittlich,76.94109731064917
Donnersbergkreis,Birkenfeld,47.03819542487833
Donnersbergkreis,Bitburg-Prum,117.37517349642053
Donnersbergkreis,Cochem-Zell,75.9581079444078
Donnersbergkreis,Germersheim,56.98688448033068
Donnersbergkreis,Kaiserslautern,24.09632433106307
Donnersbergkreis,Kusel,32.33254237478238
Donnersbergkreis,Mainz-Bingen,32.308612742727746
Donnersbergkreis,Mayen-Koblenz,87.6387761370024
Donnersbergkreis,Neuwied,106.85657697532325
Donnersbergkreis,Rhein-Hunsruck,51.956918014170306
Donnersbergkreis,Rhein-Lahn-Kreis,70.16556298174298
Donnersbergkreis,Rhein-Pfalz-Kreis,37.61581322764961
Donnersbergkreis,Sudliche Weinstr.,19.901545070173697
Donnersbergkreis,Sudwestpfalz,51.229853982487555
Donnersbergkreis,Trier-Saarburg,87.59781911629011
Donnersbergkreis,Vulkaneifel,103.93497553717951
Donnersbergkreis,Westerwaldkreis,102.37251365143283
Donnersbergkreis,KS Frankenthal,34.38501348623469
Donnersbergkreis,KS Kaiserslautern,24.09632433106307
Donnersbergkreis,KS Koblenz,82.0409381615359
Donnersbergkreis,KS Landau i.d.Pf.,49.9762669866805
Donnersbergkreis,KS Ludwigshafen,42.27239719740766
Donnersbergkreis,KS Mainz,47.691126163140815
Donnersbergkreis,KS Neustadt a.d.W.,35.31791563121546
Donnersbergkreis,KS Pirmasens,53.85713909469505
Donnersbergkreis,KS Speyer,51.07225398667809
Donnersbergkreis,KS Trier,93.1555408537029
Donnersbergkreis,KS Worms,32.50331190406559
Donnersbergkreis,KS Zweibrucken,58.43662060841749
Germersheim,Ahrweiler,166.86941926389318
Germersheim,Altenkirchen,172.7603043945989
Germersheim,Alzey-Worms,61.063492140440786
Germersheim,Bad Durkheim,33.35911747142129
Germersheim,Bad Kreuznach,76.5590994791655
Germersheim,Bernkastel-Wittlich,129.54759115784995
Germersheim,Birkenfeld,96.61130405076459
Germersheim,Bitburg-Prum,168.41979693636088
Germersheim,Cochem-Zell,132.6631376370185
Germersheim,Donnersbergkreis,56.98688448033068
Germersheim,Kaiserslautern,51.18459113893983
Germersheim,Kusel,74.23828081797055
Germersheim,Mainz-Bingen,77.76255038507855
Germersheim,Mayen-Koblenz,144.40528609345097
Germersheim,Neuwied,161.90103608217055
Germersheim,Rhein-Hunsruck,108.94346580003217
Germersheim,Rhein-Lahn-Kreis,122.21824102746461
Germersheim,Rhein-Pfalz-Kreis,25.620998836689395
Germersheim,Sudliche Weinstr.,37.10433135028923
Germersheim,Sudwestpfalz,53.90802888044511
Germersheim,Trier-Saarburg,131.64836244759493
Germersheim,Vulkaneifel,159.74338238118204
Germersheim,Westerwaldkreis,153.14586674011423
Germersheim,KS Frankenthal,35.58946984705136
Germersheim,KS Kaiserslautern,51.18459113893983
Germersheim,KS Koblenz,137.08208804415563
Germersheim,KS Landau i.d.Pf.,18.247994931010012
Germersheim,KS Ludwigshafen,29.49471556181042
Germersheim,KS Mainz,86.99629485073667
Germersheim,KS Neustadt a.d.W.,22.328476005517306
Germersheim,KS Pirmasens,55.42081172740401
Germersheim,KS Speyer,13.251746452072183
Germersheim,KS Trier,138.51676341881895
Germersheim,KS Worms,46.71158510930596
Germersheim,KS Zweibrucken,72.17529776405338
Kaiserslautern,Ahrweiler,122.25514835342896
Kaiserslautern,Altenkirchen,140.240065783819
Kaiserslautern,Alzey-Worms,43.682160112451584
Kaiserslautern,Bad Durkheim,30.048251455392275
Kaiserslautern,Bad Kreuznach,43.14400441303773
Kaiserslautern,Bernkastel-Wittlich,79.15802361453069
Kaiserslautern,Birkenfeld,45.89663274522645
Kaiserslautern,Bitburg-Prum,117.35811393593026
Kaiserslautern,Cochem-Zell,86.69166205020676
Kaiserslautern,Donnersbergkreis,24.09632433106307
Kaiserslautern,Germersheim,51.18459113893983
Kaiserslautern,Kusel,23.067415520129458
Kaiserslautern,Mainz-Bingen,56.3930813684901
Kaiserslautern,Mayen-Koblenz,102.64069671647883
Kaiserslautern,Neuwied,124.97213753637294
Kaiserslautern,Rhein-Hunsruck,66.11015714130043
Kaiserslautern,Rhein-Lahn-Kreis,91.5478981889283
Kaiserslautern,Rhein-Pfalz-Kreis,42.780986139781355
Kaiserslautern,Sudliche Weinstr.,22.905219771915515
Kaiserslautern,Sudwestpfalz,27.268916381405234
Kaiserslautern,Trier-Saarburg,80.87143309917501
Kaiserslautern,Vulkaneifel,111.30763081057826
Kaiserslautern,Westerwaldkreis,123.76364994833973
Kaiserslautern,KS Frankenthal,45.310142679587635
Kaiserslautern,KS Kaiserslautern,0.0
Kaiserslautern,KS Koblenz,100.68276136417285
Kaiserslautern,KS Landau i.d.Pf.,37.378888282290184
Kaiserslautern,KS Ludwigshafen,50.1278492542196
Kaiserslautern,KS Mainz,71.74875524437486
Kaiserslautern,KS Neustadt a.d.W.,30.02260459023774
Kaiserslautern,KS Pirmasens,29.865748713251985
Kaiserslautern,KS Speyer,51.139169925922026
Kaiserslautern,KS Trier,87.56829880376512
Kaiserslautern,KS Worms,48.9426624652859
Kaiserslautern,KS Zweibrucken,35.455144631091606
Kusel,Ahrweiler,103.51893100540654
Kusel,Altenkirchen,128.71297859654993
Kusel,Alzey-Worms,52.131869648273685
Kusel,Bad Durkheim,49.843360166283766
Kusel,Bad Kreuznach,41.152703201122485
Kusel,Bernkastel-Wittlich,56.64189324691576
Kusel,Birkenfeld,23.382806356748443
Kusel,Bitburg-Prum,94.31542040199919
Kusel,Cochem-Zell,67.79868066566533
Kusel,Donnersbergkreis,32.33254237478238
Kusel,Germersheim,74.23828081797055
Kusel,Kaiserslautern,23.067415520129458
Kusel,Mainz-Bingen,59.10213106466549
Kusel,Mayen-Koblenz,86.4120540987195
Kusel,Neuwied,111.23021541802191
Kusel,Rhein-Hunsruck,51.16857283947539
Kusel,Rhein-Lahn-Kreis,83.55427050934821
Kusel,Rhein-Pfalz-Kreis,63.4787911796444
Kusel,Sudliche Weinstr.,42.707299084786655
Kusel,Sudwestpfalz,39.15598549812633
Kusel,Trier-Saarburg,58.46214486564474
Kusel,Vulkaneifel,90.03963682415083
Kusel,Westerwaldkreis,114.68193150477002
Kusel,KS Frankenthal,63.71767331777562
Kusel,KS Kaiserslautern,23.067415520129458
Kusel,KS Koblenz,88.29120528733853
Kusel,KS Landau i.d.Pf.,60.062541506167285
Kusel,KS Ludwigshafen,70.07739872795963
Kusel,KS Mainz,75.04833159237768
Kusel,KS Neustadt a.d.W.,52.76457427281464
Kusel,KS Pirmasens,40.97535445409371
Kusel,KS Speyer,73.48697340547328
Kusel,KS Trier,64.91204602884112
Kusel,KS Worms,64.23303936587205
Kusel,KS Zweibrucken,35.389672286016896
Mainz-Bingen,Ahrweiler,98.91108708298032
Mainz-Bingen,Altenkirchen,95.1651214652145
Mainz-Bingen,Alzey-Worms,16.82292501724246
Mainz-Bingen,Bad Durkheim,45.74396456112842
Mainz-Bingen,Bad Kreuznach,18.9303477490425
Mainz-Bingen,Bernkastel-Wittlich,84.09719974045672
Mainz-Bingen,Birkenfeld,63.68952604758265
Mainz-Bingen,Bitburg-Prum,123.65757670779972
Mainz-Bingen,Cochem-Zell,71.13130556069154
Mainz-Bingen,Donnersbergkreis,32.308612742727746
Mainz-Bingen,Germersheim,77.76255038507855
Mainz-Bingen,Kaiserslautern,56.3930813684901
Mainz-Bingen,Kusel,59.10213106466549
Mainz-Bingen,Mayen-Koblenz,74.02902788412165
Mainz-Bingen,Neuwied,86.08265906341218
Mainz-Bingen,Rhein-Hunsruck,46.447185939232725
Mainz-Bingen,Rhein-Lahn-Kreis,44.876412794530594
Mainz-Bingen,Rhein-Pfalz-Kreis,52.73150075167126
Mainz-Bingen,Sudliche Weinstr.,45.74396456112772
Mainz-Bingen,Sudwestpfalz,83.52576013768893
Mainz-Bingen,Trier-Saarburg,103.91686910649523
Mainz-Bingen,Vulkaneifel,101.12116765315695
Mainz-Bingen,Westerwaldkreis,75.38481468312706
Mainz-Bingen,KS Frankenthal,43.91172529002971
Mainz-Bingen,KS Kaiserslautern,56.3930813684901
Mainz-Bingen,KS Koblenz,61.93088360329024
Mainz-Bingen,KS Landau i.d.Pf.,76.74212736793541
Mainz-Bingen,KS Ludwigshafen,52.43221489251563
Mainz-Bingen,KS Mainz,15.986896588489559
Mainz-Bingen,KS Neustadt a.d.W.,60.098930244704384
Mainz-Bingen,KS Pirmasens,86.15783510331605
Mainz-Bingen,KS Speyer,67.48223674063041
Mainz-Bingen,KS Trier,107.79147714501285
Mainz-Bingen,KS Worms,34.06766547132203
Mainz-Bingen,KS Zweibrucken,89.94823009773157
Mayen-Koblenz,Ahrweiler,25.215453539233355
Mayen-Koblenz,Altenkirchen,49.38261582124323
Mayen-Koblenz,Alzey-Worms,87.24887610312615
Mayen-Koblenz,Bad Durkheim,111.21821210966155
Mayen-Koblenz,Bad Kreuznach,68.1379377656795
Mayen-Koblenz,Bernkastel-Wittlich,52.13282570693185
Mayen-Koblenz,Birkenfeld,67.94455240487926
Mayen-Koblenz,Bitburg-Prum,73.19700922402676
Mayen-Koblenz,Cochem-Zell,23.079993958492185
Mayen-Koblenz,Donnersbergkreis,87.6387761370024
Mayen-Koblenz,Germersheim,144.40528609345097
Mayen-Koblenz,Kaiserslautern,102.64069671647883
Mayen-Koblenz,Kusel,86.4120540987195
Mayen-Koblenz,Mainz-Bingen,74.02902788412165
Mayen-Koblenz,Neuwied,27.99533543523055
Mayen-Koblenz,Rhein-Hunsruck,36.557985946453684
Mayen-Koblenz,Rhein-Lahn-Kreis,39.04874814289698
Mayen-Koblenz,Rhein-Pfalz-Kreis,122.27903171962465
Mayen-Koblenz,Sudliche Weinstr.,107.49132484046942
Mayen-Koblenz,Sudwestpfalz,125.33595881200156
Mayen-Koblenz,Trier-Saarburg,82.97597619794595
Mayen-Koblenz,Vulkaneifel,38.38916621964201
Mayen-Koblenz,Westerwaldkreis,46.699309066326016
Mayen-Koblenz,KS Frankenthal,115.3052499862591
Mayen-Koblenz,KS Kaiserslautern,102.64069671647883
Mayen-Koblenz,KS Koblenz,20.05663398476455
Mayen-Koblenz,KS Landau i.d.Pf.,136.9532436638981
Mayen-Koblenz,KS Ludwigshafen,124.14125291390572
Mayen-Koblenz,KS Mainz,77.1661348297016
Mayen-Koblenz,KS Neustadt a.d.W.,122.95604748707181
Mayen-Koblenz,KS Pirmasens,127.29201268323183
Mayen-Koblenz,KS Speyer,136.92421489291445
Mayen-Koblenz,KS Trier,81.2715575960011
Mayen-Koblenz,KS Worms,107.01858328505946
