Stadt,PCR_pos_N,Inz1,Inz1b,Inz1c,Inz1d,Inz1e,Inz1f,PCR_pos_Hosp,Inz2,N3,Inz3,Inz3c,Inz3d,Inz3e,Inz3f,PCR_pos_Dec,N5,Inz5c,Inz5d,Inz5e,Inz5f,Week,avg_temperature_per_day,max_temp_per_day,min_temp_per_day,max - min temp
Kusel,121,172.59825134277344,163.78575134277344,364.2250061035156,287.5924377441406,192.1397399902344,59.64045333862305,7,9.47520923614502,3,4.060803890228272,0.0,0.0,5.822416305541992,4.260032176971436,2,1,0,0,0,1,2021KW51,1.436,3.7571428571428567,-1.1,4.857142857142857
KS Pirmasens,82,204.10194396972656,204.0359344482422,626.80810546875,251.25628662109372,172.86083984375,110.51351928710938,3,7.464729309082031,3,7.464729309082031,24.10800361633301,0.0,0.0,14.735136032104492,6,4,0,0,0,4,2021KW51,2.3217142857142856,5.128571428571427,-0.7999999999999998,5.928571428571429
Sudwestpfalz,153,161.2019500732422,159.20086669921875,318.8915710449219,160.28208923339844,194.9234161376953,69.92156982421875,6,6.243171691894531,3,3.1215858459472656,0.0,0.0,4.284031391143799,3.0400681495666504,9,5,0,0,0,5,2021KW51,2.3217142857142856,5.128571428571427,-0.7999999999999998,5.928571428571429
KS Zweibrucken,97,285.2857360839844,285.12640380859375,829.045166015625,280.8988647460937,300.38702392578125,84.11215209960938,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW51,1.8228571428571427,4.971428571428572,-1.5857142857142856,6.557142857142857
Ahrweiler,131,100.39929962158205,100.39929962158205,196.2922515869141,188.6373748779297,115.59090423583984,28.019052505493164,1,0.7664068341255188,1,0.7664068341255188,0.0,0.0,0.0,2.33492112159729,8,8,0,0,0,8,2021KW52,10.2408,12.84,6.4,6.44
Altenkirchen,171,132.46879577636722,132.46879577636722,301.14154052734375,133.3880615234375,137.03636169433594,63.47433090209961,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,2,2021KW52,8.7048,10.7,7.0,3.7
Cochem-Zell,56,90.94156646728516,90.87220764160156,33.534542083740234,331.7116394042969,101.16832733154295,39.11980438232422,3,4.868154048919678,0,0.0,0.0,0.0,0.0,0.0,12,9,0,0,1,8,2021KW52,8.1096,9.88,6.42,3.4599999999999995
KS Koblenz,174,153.4553985595703,153.44998168945312,242.52923583984372,189.2659149169922,182.4759063720703,56.29926300048828,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,0,5,2021KW52,9.7048,12.58,7.1,5.48
Mayen-Koblenz,292,135.94926452636722,135.94926452636722,168.9117889404297,237.9908599853516,163.88693237304688,51.007789611816406,2,0.9311593770980836,0,0.0,0.0,0.0,0.0,0.0,9,8,0,0,1,7,2021KW52,9.7048,12.58,7.1,5.48
Neuwied,178,97.19818115234376,97.19818115234376,134.64128112792972,126.05924987792969,122.04605102539062,34.253982543945305,5,2.730285882949829,4,2.1842286586761475,0.0,0.0,1.0800535678863523,5.408524036407472,9,8,0,0,2,6,2021KW52,8.426400000000001,10.6,6.739999999999998,3.86
